Location,Gender,Age group,Count
Newfoundland and Labrador,Men+,26 years,3226
Newfoundland and Labrador,Men+,27 years,3153
Newfoundland and Labrador,Men+,28 years,3098
Newfoundland and Labrador,Men+,29 years,3110
Newfoundland and Labrador,Men+,30 years,2964
Newfoundland and Labrador,Men+,31 years,3095
Newfoundland and Labrador,Men+,32 years,3161
Newfoundland and Labrador,Men+,33 years,3289
Newfoundland and Labrador,Men+,34 years,3370
Newfoundland and Labrador,Men+,35 years,3170
Newfoundland and Labrador,Men+,36 years,3175
Newfoundland and Labrador,Men+,37 years,3179
Newfoundland and Labrador,Men+,38 years,3245
Newfoundland and Labrador,Men+,39 years,3326
Newfoundland and Labrador,Men+,40 years,3385
Newfoundland and Labrador,Men+,41 years,3331
Newfoundland and Labrador,Men+,42 years,3251
Newfoundland and Labrador,Men+,43 years,3249
Newfoundland and Labrador,Men+,44 years,3284
Newfoundland and Labrador,Men+,45 to 49 years,16806
Newfoundland and Labrador,Men+,50 to 54 years,18345
Newfoundland and Labrador,Men+,55 to 59 years,20361
Newfoundland and Labrador,Men+,60 to 64 years,21614
Newfoundland and Labrador,Men+,65 years and older,62819
Newfoundland and Labrador,Women+,16 years,2756
Newfoundland and Labrador,Women+,17 years,2623
Newfoundland and Labrador,Women+,18 years,2683
Newfoundland and Labrador,Women+,19 years,2703
Newfoundland and Labrador,Women+,20 years,2724
Newfoundland and Labrador,Women+,21 years,2877
Newfoundland and Labrador,Women+,22 years,2862
Newfoundland and Labrador,Women+,23 years,2854
Newfoundland and Labrador,Women+,24 years,2957
Newfoundland and Labrador,Women+,25 years,2883
Newfoundland and Labrador,Women+,26 years,2921
Newfoundland and Labrador,Women+,27 years,2854
Newfoundland and Labrador,Women+,28 years,2877
Newfoundland and Labrador,Women+,29 years,2846
Newfoundland and Labrador,Women+,30 years,2878
Newfoundland and Labrador,Women+,31 years,2889
Newfoundland and Labrador,Women+,32 years,3135
Newfoundland and Labrador,Women+,33 years,3202
Newfoundland and Labrador,Women+,34 years,3335
Newfoundland and Labrador,Women+,35 years,3116
Newfoundland and Labrador,Women+,36 years,3330
Newfoundland and Labrador,Women+,37 years,3258
Newfoundland and Labrador,Women+,38 years,3358
Newfoundland and Labrador,Women+,39 years,3388
Newfoundland and Labrador,Women+,40 years,3412
Newfoundland and Labrador,Women+,41 years,3344
Newfoundland and Labrador,Women+,42 years,3410
Newfoundland and Labrador,Women+,43 years,3394
Newfoundland and Labrador,Women+,44 years,3476
Newfoundland and Labrador,Women+,45 to 49 years,17313
Newfoundland and Labrador,Women+,50 to 54 years,19227
Newfoundland and Labrador,Women+,55 to 59 years,21397
Newfoundland and Labrador,Women+,60 to 64 years,22020
Newfoundland and Labrador,Women+,65 years and older,71505
Prince Edward Island,Total - gender,16 years,1975
Prince Edward Island,Total - gender,17 years,1999
Prince Edward Island,Total - gender,18 years,1944
Prince Edward Island,Total - gender,19 years,2224
Prince Edward Island,Total - gender,20 years,2311
Prince Edward Island,Total - gender,21 years,2441
Prince Edward Island,Total - gender,22 years,2759
Prince Edward Island,Total - gender,23 years,3243
Prince Edward Island,Total - gender,24 years,3308
Prince Edward Island,Total - gender,25 years,3348
Prince Edward Island,Total - gender,26 years,3117
Prince Edward Island,Total - gender,27 years,2772
Prince Edward Island,Total - gender,28 years,2634
Prince Edward Island,Total - gender,29 years,2478
Prince Edward Island,Total - gender,30 years,2347
Prince Edward Island,Total - gender,31 years,2211
Prince Edward Island,Total - gender,32 years,2344
Prince Edward Island,Total - gender,33 years,2310
Prince Edward Island,Total - gender,34 years,2338
Prince Edward Island,Total - gender,35 years,2321
Prince Edward Island,Total - gender,36 years,2176
Prince Edward Island,Total - gender,37 years,2278
Prince Edward Island,Total - gender,38 years,2275
Prince Edward Island,Total - gender,39 years,2161
Prince Edward Island,Total - gender,40 years,2174
Prince Edward Island,Total - gender,41 years,2246
Prince Edward Island,Total - gender,42 years,2143
Prince Edward Island,Total - gender,43 years,2118
Prince Edward Island,Total - gender,44 years,2083
Prince Edward Island,Total - gender,45 to 49 years,10441
Prince Edward Island,Total - gender,50 to 54 years,10618
Prince Edward Island,Total - gender,55 to 59 years,11003
Prince Edward Island,Total - gender,60 to 64 years,12476
Prince Edward Island,Total - gender,65 years and older,36848
Prince Edward Island,Men+,16 years,962
Prince Edward Island,Men+,17 years,995
Prince Edward Island,Men+,18 years,984
Prince Edward Island,Men+,19 years,1158
Prince Edward Island,Men+,20 years,1189
Prince Edward Island,Men+,21 years,1202
Prince Edward Island,Men+,22 years,1385
Prince Edward Island,Men+,23 years,1657
Prince Edward Island,Men+,24 years,1671
Prince Edward Island,Men+,25 years,1793
Prince Edward Island,Men+,26 years,1681
Prince Edward Island,Men+,27 years,1504
Prince Edward Island,Men+,28 years,1410
Prince Edward Island,Men+,29 years,1308
Prince Edward Island,Men+,30 years,1196
Prince Edward Island,Men+,31 years,1122
Prince Edward Island,Men+,32 years,1204
Prince Edward Island,Men+,33 years,1138
Prince Edward Island,Men+,34 years,1168
Prince Edward Island,Men+,35 years,1133
Prince Edward Island,Men+,36 years,1029
Prince Edward Island,Men+,37 years,1084
Prince Edward Island,Men+,38 years,1115
Prince Edward Island,Men+,39 years,1061
Prince Edward Island,Men+,40 years,1030
Prince Edward Island,Men+,41 years,1079
Prince Edward Island,Men+,42 years,1012
Prince Edward Island,Men+,43 years,990
Prince Edward Island,Men+,44 years,974
Prince Edward Island,Men+,45 to 49 years,5065
Prince Edward Island,Men+,50 to 54 years,5215
Prince Edward Island,Men+,55 to 59 years,5373
Prince Edward Island,Men+,60 to 64 years,5971
Prince Edward Island,Men+,65 years and older,16843
Prince Edward Island,Women+,16 years,1013
Prince Edward Island,Women+,17 years,1004
Prince Edward Island,Women+,18 years,960
Prince Edward Island,Women+,19 years,1066
Prince Edward Island,Women+,20 years,1122
Prince Edward Island,Women+,21 years,1239
Prince Edward Island,Women+,22 years,1374
Prince Edward Island,Women+,23 years,1586
Prince Edward Island,Women+,24 years,1637
Prince Edward Island,Women+,25 years,1555
Prince Edward Island,Women+,26 years,1436
Prince Edward Island,Women+,27 years,1268
Prince Edward Island,Women+,28 years,1224
Prince Edward Island,Women+,29 years,1170
Prince Edward Island,Women+,30 years,1151
Prince Edward Island,Women+,31 years,1089
Prince Edward Island,Women+,32 years,1140
Prince Edward Island,Women+,33 years,1172
Prince Edward Island,Women+,34 years,1170
Prince Edward Island,Women+,35 years,1188
Prince Edward Island,Women+,36 years,1147
Prince Edward Island,Women+,37 years,1194
Prince Edward Island,Women+,38 years,1160
Prince Edward Island,Women+,39 years,1100
Prince Edward Island,Women+,40 years,1144
Prince Edward Island,Women+,41 years,1167
Prince Edward Island,Women+,42 years,1131
Prince Edward Island,Women+,43 years,1128
Prince Edward Island,Women+,44 years,1109
Prince Edward Island,Women+,45 to 49 years,5376
Prince Edward Island,Women+,50 to 54 years,5403
Prince Edward Island,Women+,55 to 59 years,5630
Prince Edward Island,Women+,60 to 64 years,6505
Prince Edward Island,Women+,65 years and older,20005
Nova Scotia,Total - gender,16 years,10820
Nova Scotia,Total - gender,17 years,10469
Nova Scotia,Total - gender,18 years,10610
Nova Scotia,Total - gender,19 years,10943
Nova Scotia,Total - gender,20 years,11531
Nova Scotia,Total - gender,21 years,11991
Nova Scotia,Total - gender,22 years,12948
Nova Scotia,Total - gender,23 years,14018
Nova Scotia,Total - gender,24 years,15490
Nova Scotia,Total - gender,25 years,15781
Nova Scotia,Total - gender,26 years,16045
Nova Scotia,Total - gender,27 years,15260
Nova Scotia,Total - gender,28 years,15486
Nova Scotia,Total - gender,29 years,15287
Nova Scotia,Total - gender,30 years,15103
Nova Scotia,Total - gender,31 years,15215
Nova Scotia,Total - gender,32 years,15228
Nova Scotia,Total - gender,33 years,15273
Nova Scotia,Total - gender,34 years,15511
Nova Scotia,Total - gender,35 years,14753
Nova Scotia,Total - gender,36 years,14200
Nova Scotia,Total - gender,37 years,14226
Nova Scotia,Total - gender,38 years,13922
Nova Scotia,Total - gender,39 years,13977
Nova Scotia,Total - gender,40 years,13756
Nova Scotia,Total - gender,41 years,13926
Nova Scotia,Total - gender,42 years,13464
Nova Scotia,Total - gender,43 years,13197
Nova Scotia,Total - gender,44 years,13115
