Location,Gender,Age group,Count
Manitoba,Total - gender,20 years,20691
Manitoba,Total - gender,21 years,20782
Manitoba,Total - gender,22 years,21381
Manitoba,Total - gender,23 years,23196
Manitoba,Total - gender,24 years,25519
Manitoba,Total - gender,25 years,25151
Manitoba,Total - gender,26 years,24267
Manitoba,Total - gender,27 years,23216
Manitoba,Total - gender,28 years,22889
Manitoba,Total - gender,29 years,22449
Manitoba,Total - gender,30 years,21962
Manitoba,Total - gender,31 years,21679
Manitoba,Total - gender,32 years,21530
Manitoba,Total - gender,33 years,22026
Manitoba,Total - gender,34 years,21766
Manitoba,Total - gender,35 years,21197
Manitoba,Total - gender,36 years,20740
Manitoba,Total - gender,37 years,20836
Manitoba,Total - gender,38 years,20984
Manitoba,Total - gender,39 years,20724
Manitoba,Total - gender,40 years,20406
Manitoba,Total - gender,41 years,20120
Manitoba,Total - gender,42 years,19833
Manitoba,Total - gender,43 years,19801
Manitoba,Total - gender,44 years,19002
Manitoba,Total - gender,45 to 49 years,88518
Manitoba,Total - gender,50 to 54 years,82273
Manitoba,Total - gender,55 to 59 years,80610
Manitoba,Total - gender,60 to 64 years,89167
Manitoba,Total - gender,65 years and older,251515
Manitoba,Men+,16 years,9404
Manitoba,Men+,17 years,9268
Manitoba,Men+,18 years,9515
Manitoba,Men+,19 years,10232
Manitoba,Men+,20 years,10727
Manitoba,Men+,21 years,11118
Manitoba,Men+,22 years,11440
Manitoba,Men+,23 years,12436
Manitoba,Men+,24 years,13996
Manitoba,Men+,25 years,13693
Manitoba,Men+,26 years,13308
Manitoba,Men+,27 years,12509
Manitoba,Men+,28 years,12334
Manitoba,Men+,29 years,11904
Manitoba,Men+,30 years,11652
Manitoba,Men+,31 years,11375
Manitoba,Men+,32 years,11283
Manitoba,Men+,33 years,11398
Manitoba,Men+,34 years,11205
Manitoba,Men+,35 years,10911
Manitoba,Men+,36 years,10547
Manitoba,Men+,37 years,10767
Manitoba,Men+,38 years,10726
Manitoba,Men+,39 years,10512
Manitoba,Men+,40 years,10338
Manitoba,Men+,41 years,10323
Manitoba,Men+,42 years,10053
Manitoba,Men+,43 years,10116
Manitoba,Men+,44 years,9593
Manitoba,Men+,45 to 49 years,44830
Manitoba,Men+,50 to 54 years,41240
Manitoba,Men+,55 to 59 years,39971
Manitoba,Men+,60 to 64 years,44250
Manitoba,Men+,65 years and older,115757
Manitoba,Women+,16 years,8877
Manitoba,Women+,17 years,8791
Manitoba,Women+,18 years,8721
Manitoba,Women+,19 years,9045
Manitoba,Women+,20 years,9964
Manitoba,Women+,21 years,9664
Manitoba,Women+,22 years,9941
Manitoba,Women+,23 years,10760
Manitoba,Women+,24 years,11523
Manitoba,Women+,25 years,11458
Manitoba,Women+,26 years,10959
Manitoba,Women+,27 years,10707
Manitoba,Women+,28 years,10555
Manitoba,Women+,29 years,10545
Manitoba,Women+,30 years,10310
Manitoba,Women+,31 years,10304
Manitoba,Women+,32 years,10247
Manitoba,Women+,33 years,10628
Manitoba,Women+,34 years,10561
Manitoba,Women+,35 years,10286
Manitoba,Women+,36 years,10193
Manitoba,Women+,37 years,10069
Manitoba,Women+,38 years,10258
Manitoba,Women+,39 years,10212
Manitoba,Women+,40 years,10068
Manitoba,Women+,41 years,9797
Manitoba,Women+,42 years,9780
Manitoba,Women+,43 years,9685
Manitoba,Women+,44 years,9409
Manitoba,Women+,45 to 49 years,43688
Manitoba,Women+,50 to 54 years,41033
Manitoba,Women+,55 to 59 years,40639
Manitoba,Women+,60 to 64 years,44917
Manitoba,Women+,65 years and older,135758
Saskatchewan,Total - gender,16 years,16369
Saskatchewan,Total - gender,17 years,15391
Saskatchewan,Total - gender,18 years,15373
Saskatchewan,Total - gender,19 years,15452
Saskatchewan,Total - gender,20 years,16016
Saskatchewan,Total - gender,21 years,15437
Saskatchewan,Total - gender,22 years,15744
Saskatchewan,Total - gender,23 years,15957
Saskatchewan,Total - gender,24 years,16479
Saskatchewan,Total - gender,25 years,16065
Saskatchewan,Total - gender,26 years,15972
Saskatchewan,Total - gender,27 years,16092
Saskatchewan,Total - gender,28 years,16042
Saskatchewan,Total - gender,29 years,16261
Saskatchewan,Total - gender,30 years,16700
Saskatchewan,Total - gender,31 years,16971
Saskatchewan,Total - gender,32 years,17049
Saskatchewan,Total - gender,33 years,17936
Saskatchewan,Total - gender,34 years,18297
Saskatchewan,Total - gender,35 years,18272
Saskatchewan,Total - gender,36 years,18052
Saskatchewan,Total - gender,37 years,18496
Saskatchewan,Total - gender,38 years,18749
Saskatchewan,Total - gender,39 years,18455
Saskatchewan,Total - gender,40 years,18118
Saskatchewan,Total - gender,41 years,18016
Saskatchewan,Total - gender,42 years,17388
Saskatchewan,Total - gender,43 years,17192
Saskatchewan,Total - gender,44 years,16590
Saskatchewan,Total - gender,45 to 49 years,75298
Saskatchewan,Total - gender,50 to 54 years,66437
Saskatchewan,Total - gender,55 to 59 years,65828
Saskatchewan,Total - gender,60 to 64 years,76271
Saskatchewan,Total - gender,65 years and older,217401
Saskatchewan,Men+,16 years,8392
Saskatchewan,Men+,17 years,7910
Saskatchewan,Men+,18 years,7949
Saskatchewan,Men+,19 years,8146
Saskatchewan,Men+,20 years,8462
Saskatchewan,Men+,21 years,8193
Saskatchewan,Men+,22 years,8245
Saskatchewan,Men+,23 years,8418
Saskatchewan,Men+,24 years,8695
Saskatchewan,Men+,25 years,8535
Saskatchewan,Men+,26 years,8429
Saskatchewan,Men+,27 years,8411
Saskatchewan,Men+,28 years,8386
Saskatchewan,Men+,29 years,8272
Saskatchewan,Men+,30 years,8623
Saskatchewan,Men+,31 years,8850
Saskatchewan,Men+,32 years,8677
Saskatchewan,Men+,33 years,9191
Saskatchewan,Men+,34 years,9321
Saskatchewan,Men+,35 years,9077
Saskatchewan,Men+,36 years,9204
Saskatchewan,Men+,37 years,9227
Saskatchewan,Men+,38 years,9482
Saskatchewan,Men+,39 years,9375
Saskatchewan,Men+,40 years,9149
Saskatchewan,Men+,41 years,9000
Saskatchewan,Men+,42 years,8858
Saskatchewan,Men+,43 years,8845
Saskatchewan,Men+,44 years,8548
Saskatchewan,Men+,45 to 49 years,38724
Saskatchewan,Men+,50 to 54 years,33424
Saskatchewan,Men+,55 to 59 years,32961
Saskatchewan,Men+,60 to 64 years,37988
Saskatchewan,Men+,65 years and older,101842
Saskatchewan,Women+,16 years,7977
Saskatchewan,Women+,17 years,7481
Saskatchewan,Women+,18 years,7424
Saskatchewan,Women+,19 years,7306
Saskatchewan,Women+,20 years,7554
Saskatchewan,Women+,21 years,7244
Saskatchewan,Women+,22 years,7499
Saskatchewan,Women+,23 years,7539
Saskatchewan,Women+,24 years,7784
Saskatchewan,Women+,25 years,7530
Saskatchewan,Women+,26 years,7543
Saskatchewan,Women+,27 years,7681
Saskatchewan,Women+,28 years,7656
Saskatchewan,Women+,29 years,7989
Saskatchewan,Women+,30 years,8077
Saskatchewan,Women+,31 years,8121
Saskatchewan,Women+,32 years,8372
Saskatchewan,Women+,33 years,8745
Saskatchewan,Women+,34 years,8976
Saskatchewan,Women+,35 years,9195
Saskatchewan,Women+,36 years,8848
Saskatchewan,Women+,37 years,9269
Saskatchewan,Women+,38 years,9267
Saskatchewan,Women+,39 years,9080
Saskatchewan,Women+,40 years,8969
Saskatchewan,Women+,41 years,9016
Saskatchewan,Women+,42 years,8530
Saskatchewan,Women+,43 years,8347
Saskatchewan,Women+,44 years,8042
Saskatchewan,Women+,45 to 49 years,36574
Saskatchewan,Women+,50 to 54 years,33013
Saskatchewan,Women+,55 to 59 years,32867
Saskatchewan,Women+,60 to 64 years,38283
Saskatchewan,Women+,65 years and older,115559
Alberta,Total - gender,16 years,60780
Alberta,Total - gender,17 years,58802
Alberta,Total - gender,18 years,58014
Alberta,Total - gender,19 years,61242
Alberta,Total - gender,20 years,62329
Alberta,Total - gender,21 years,61293
Alberta,Total - gender,22 years,60211
Alberta,Total - gender,23 years,61792
Alberta,Total - gender,24 years,64240
Alberta,Total - gender,25 years,65140
Alberta,Total - gender,26 years,67080
Alberta,Total - gender,27 years,68661
Alberta,Total - gender,28 years,71038
Alberta,Total - gender,29 years,71636
Alberta,Total - gender,30 years,73034
Alberta,Total - gender,31 years,75094
Alberta,Total - gender,32 years,76540
Alberta,Total - gender,33 years,79643
Alberta,Total - gender,34 years,81407
Alberta,Total - gender,35 years,80166
Alberta,Total - gender,36 years,78677
Alberta,Total - gender,37 years,79316
Alberta,Total - gender,38 years,80617
Alberta,Total - gender,39 years,80273
Alberta,Total - gender,40 years,79288
Alberta,Total - gender,41 years,77866
Alberta,Total - gender,42 years,75787
Alberta,Total - gender,43 years,73586
Alberta,Total - gender,44 years,71421
Alberta,Total - gender,45 to 49 years,321388
Alberta,Total - gender,50 to 54 years,288283
Alberta,Total - gender,55 to 59 years,268491
Alberta,Total - gender,60 to 64 years,286101
Alberta,Total - gender,65 years and older,740710
Alberta,Men+,16 years,31332
Alberta,Men+,17 years,30217
Alberta,Men+,18 years,29979
Alberta,Men+,19 years,31964
Alberta,Men+,20 years,32629
Alberta,Men+,21 years,31494
Alberta,Men+,22 years,31208
Alberta,Men+,23 years,32004
Alberta,Men+,24 years,33274
Alberta,Men+,25 years,33387
Alberta,Men+,26 years,34365
Alberta,Men+,27 years,35273
Alberta,Men+,28 years,36353
Alberta,Men+,29 years,36409
Alberta,Men+,30 years,37208
Alberta,Men+,31 years,37793
Alberta,Men+,32 years,38417
Alberta,Men+,33 years,40050
Alberta,Men+,34 years,41142
Alberta,Men+,35 years,40505
Alberta,Men+,36 years,39674
Alberta,Men+,37 years,40039
Alberta,Men+,38 years,41042
Alberta,Men+,39 years,40816
Alberta,Men+,40 years,40373
Alberta,Men+,41 years,39835
Alberta,Men+,42 years,38291
Alberta,Men+,43 years,37516
Alberta,Men+,44 years,36379
Alberta,Men+,45 to 49 years,163685
Alberta,Men+,50 to 54 years,146611
Alberta,Men+,55 to 59 years,134024
Alberta,Men+,60 to 64 years,141709
Alberta,Men+,65 years and older,349387
Alberta,Women+,16 years,29448
Alberta,Women+,17 years,28585
Alberta,Women+,18 years,28035
Alberta,Women+,19 years,29278
Alberta,Women+,20 years,29700
Alberta,Women+,21 years,29799
Alberta,Women+,22 years,29003
Alberta,Women+,23 years,29788
Alberta,Women+,24 years,30966
Alberta,Women+,25 years,31753
Alberta,Women+,26 years,32715
Alberta,Women+,27 years,33388
Alberta,Women+,28 years,34685
Alberta,Women+,29 years,35227
Alberta,Women+,30 years,35826
Alberta,Women+,31 years,37301
Alberta,Women+,32 years,38123
Alberta,Women+,33 years,39593
Alberta,Women+,34 years,40265
Alberta,Women+,35 years,39661
Alberta,Women+,36 years,39003
Alberta,Women+,37 years,39277
Alberta,Women+,38 years,39575
Alberta,Women+,39 years,39457
Alberta,Women+,40 years,38915
Alberta,Women+,41 years,38031
Alberta,Women+,42 years,37496
Alberta,Women+,43 years,36070
Alberta,Women+,44 years,35042
Alberta,Women+,45 to 49 years,157703
Alberta,Women+,50 to 54 years,141672
Alberta,Women+,55 to 59 years,134467
Alberta,Women+,60 to 64 years,144392
Alberta,Women+,65 years and older,391323
British Columbia,Total - gender,16 years,58679
British Columbia,Total - gender,17 years,58134
British Columbia,Total - gender,18 years,59848
British Columbia,Total - gender,19 years,68887
British Columbia,Total - gender,20 years,76570
British Columbia,Total - gender,21 years,76447
British Columbia,Total - gender,22 years,75382
British Columbia,Total - gender,23 years,75432
British Columbia,Total - gender,24 years,77613
British Columbia,Total - gender,25 years,80594
British Columbia,Total - gender,26 years,84736
British Columbia,Total - gender,27 years,88763
British Columbia,Total - gender,28 years,92163
British Columbia,Total - gender,29 years,92809
British Columbia,Total - gender,30 years,92945
British Columbia,Total - gender,31 years,93179
British Columbia,Total - gender,32 years,93751
British Columbia,Total - gender,33 years,94075
British Columbia,Total - gender,34 years,93657
British Columbia,Total - gender,35 years,90227
British Columbia,Total - gender,36 years,87264
British Columbia,Total - gender,37 years,85199
British Columbia,Total - gender,38 years,85232
British Columbia,Total - gender,39 years,84653
British Columbia,Total - gender,40 years,82503
British Columbia,Total - gender,41 years,81741
British Columbia,Total - gender,42 years,79941
British Columbia,Total - gender,43 years,77245
British Columbia,Total - gender,44 years,74304
British Columbia,Total - gender,45 to 49 years,344072
British Columbia,Total - gender,50 to 54 years,341771
British Columbia,Total - gender,55 to 59 years,341779
British Columbia,Total - gender,60 to 64 years,371221
British Columbia,Total - gender,65 years and older,1127346
British Columbia,Men+,16 years,30072
British Columbia,Men+,17 years,29932
British Columbia,Men+,18 years,31015
British Columbia,Men+,19 years,35739
British Columbia,Men+,20 years,40040
British Columbia,Men+,21 years,39624
British Columbia,Men+,22 years,39179
British Columbia,Men+,23 years,38815
British Columbia,Men+,24 years,39771
British Columbia,Men+,25 years,40885
British Columbia,Men+,26 years,42767
British Columbia,Men+,27 years,45387
British Columbia,Men+,28 years,46890
British Columbia,Men+,29 years,47848
British Columbia,Men+,30 years,47336
British Columbia,Men+,31 years,47439
British Columbia,Men+,32 years,47769
British Columbia,Men+,33 years,48211
British Columbia,Men+,34 years,47646
British Columbia,Men+,35 years,45897
British Columbia,Men+,36 years,44066
British Columbia,Men+,37 years,43099
British Columbia,Men+,38 years,43197
British Columbia,Men+,39 years,42991
British Columbia,Men+,40 years,41588
British Columbia,Men+,41 years,41178
British Columbia,Men+,42 years,39864
British Columbia,Men+,43 years,38689
British Columbia,Men+,44 years,36991
British Columbia,Men+,45 to 49 years,169938
British Columbia,Men+,50 to 54 years,165491
British Columbia,Men+,55 to 59 years,165305
British Columbia,Men+,60 to 64 years,180297
British Columbia,Men+,65 years and older,524906
British Columbia,Women+,16 years,28607
British Columbia,Women+,17 years,28202
British Columbia,Women+,18 years,28833
British Columbia,Women+,19 years,33148
British Columbia,Women+,20 years,36530
British Columbia,Women+,21 years,36823
British Columbia,Women+,22 years,36203
British Columbia,Women+,23 years,36617
British Columbia,Women+,24 years,37842
British Columbia,Women+,25 years,39709
British Columbia,Women+,26 years,41969
British Columbia,Women+,27 years,43376
British Columbia,Women+,28 years,45273
British Columbia,Women+,29 years,44961
British Columbia,Women+,30 years,45609
British Columbia,Women+,31 years,45740
British Columbia,Women+,32 years,45982
British Columbia,Women+,33 years,45864
British Columbia,Women+,34 years,46011
British Columbia,Women+,35 years,44330
British Columbia,Women+,36 years,43198
British Columbia,Women+,37 years,42100
British Columbia,Women+,38 years,42035
British Columbia,Women+,39 years,41662
British Columbia,Women+,40 years,40915
British Columbia,Women+,41 years,40563
British Columbia,Women+,42 years,40077
British Columbia,Women+,43 years,38556
British Columbia,Women+,44 years,37313
British Columbia,Women+,45 to 49 years,174134
British Columbia,Women+,50 to 54 years,176280
British Columbia,Women+,55 to 59 years,176474
British Columbia,Women+,60 to 64 years,190924
British Columbia,Women+,65 years and older,602440
Yukon,Total - gender,16 years,470
Yukon,Total - gender,17 years,465
Yukon,Total - gender,18 years,462
Yukon,Total - gender,19 years,478
Yukon,Total - gender,20 years,515
Yukon,Total - gender,21 years,496
Yukon,Total - gender,22 years,548
Yukon,Total - gender,23 years,622
Yukon,Total - gender,24 years,649
Yukon,Total - gender,25 years,643
Yukon,Total - gender,26 years,766
Yukon,Total - gender,27 years,774
Yukon,Total - gender,28 years,743
Yukon,Total - gender,29 years,772
Yukon,Total - gender,30 years,818
Yukon,Total - gender,31 years,848
Yukon,Total - gender,32 years,828
Yukon,Total - gender,33 years,916
Yukon,Total - gender,34 years,870
Yukon,Total - gender,35 years,847
Yukon,Total - gender,36 years,871
Yukon,Total - gender,37 years,829
Yukon,Total - gender,38 years,902
Yukon,Total - gender,39 years,809
Yukon,Total - gender,40 years,758
Yukon,Total - gender,41 years,808
Yukon,Total - gender,42 years,736
Yukon,Total - gender,43 years,718
Yukon,Total - gender,44 years,650
Yukon,Total - gender,45 to 49 years,3015
Yukon,Total - gender,50 to 54 years,2836
Yukon,Total - gender,55 to 59 years,2478
Yukon,Total - gender,60 to 64 years,2906
Yukon,Total - gender,65 years and older,7062
Yukon,Men+,16 years,251
Yukon,Men+,17 years,237
Yukon,Men+,18 years,250
Yukon,Men+,19 years,255
Yukon,Men+,20 years,260
Yukon,Men+,21 years,266
Yukon,Men+,22 years,283
Yukon,Men+,23 years,327
Yukon,Men+,24 years,324
Yukon,Men+,25 years,311
Yukon,Men+,26 years,381
Yukon,Men+,27 years,376
Yukon,Men+,28 years,387
Yukon,Men+,29 years,377
Yukon,Men+,30 years,389
Yukon,Men+,31 years,381
Yukon,Men+,32 years,420
Yukon,Men+,33 years,464
Yukon,Men+,34 years,415
Yukon,Men+,35 years,407
Yukon,Men+,36 years,407
Yukon,Men+,37 years,415
Yukon,Men+,38 years,435
Yukon,Men+,39 years,423
Yukon,Men+,40 years,374
Yukon,Men+,41 years,395
Yukon,Men+,42 years,384
Yukon,Men+,43 years,354
Yukon,Men+,44 years,307
Yukon,Men+,45 to 49 years,1484
Yukon,Men+,50 to 54 years,1395
Yukon,Men+,55 to 59 years,1282
Yukon,Men+,60 to 64 years,1407
Yukon,Men+,65 years and older,3658
Yukon,Women+,16 years,219
Yukon,Women+,17 years,228
Yukon,Women+,18 years,212
Yukon,Women+,19 years,223
Yukon,Women+,20 years,255
Yukon,Women+,21 years,230
Yukon,Women+,22 years,265
Yukon,Women+,23 years,295
Yukon,Women+,24 years,325
Yukon,Women+,25 years,332
Yukon,Women+,26 years,385
Yukon,Women+,27 years,398
Yukon,Women+,28 years,356
Yukon,Women+,29 years,395
Yukon,Women+,30 years,429
Yukon,Women+,31 years,467
Yukon,Women+,32 years,408
Yukon,Women+,33 years,452
Yukon,Women+,34 years,455
Yukon,Women+,35 years,440
Yukon,Women+,36 years,464
Yukon,Women+,37 years,414
Yukon,Women+,38 years,467
Yukon,Women+,39 years,386
Yukon,Women+,40 years,384
Yukon,Women+,41 years,413
Yukon,Women+,42 years,352
Yukon,Women+,43 years,364
Yukon,Women+,44 years,343
Yukon,Women+,45 to 49 years,1531
Yukon,Women+,50 to 54 years,1441
Yukon,Women+,55 to 59 years,1196
Yukon,Women+,60 to 64 years,1499
Yukon,Women+,65 years and older,3404
Northwest Territories,Total - gender,16 years,546
Northwest Territories,Total - gender,17 years,571
Northwest Territories,Total - gender,18 years,556
Northwest Territories,Total - gender,19 years,546
Northwest Territories,Total - gender,20 years,549
Northwest Territories,Total - gender,21 years,556
Northwest Territories,Total - gender,22 years,548
Northwest Territories,Total - gender,23 years,642
Northwest Territories,Total - gender,24 years,669
Northwest Territories,Total - gender,25 years,652
Northwest Territories,Total - gender,26 years,736
Northwest Territories,Total - gender,27 years,746
Northwest Territories,Total - gender,28 years,772
Northwest Territories,Total - gender,29 years,765
Northwest Territories,Total - gender,30 years,769
Northwest Territories,Total - gender,31 years,760
Northwest Territories,Total - gender,32 years,762
Northwest Territories,Total - gender,33 years,838
Northwest Territories,Total - gender,34 years,797
Northwest Territories,Total - gender,35 years,751
Northwest Territories,Total - gender,36 years,747
Northwest Territories,Total - gender,37 years,684
Northwest Territories,Total - gender,38 years,647
Northwest Territories,Total - gender,39 years,624
Northwest Territories,Total - gender,40 years,707
Northwest Territories,Total - gender,41 years,654
Northwest Territories,Total - gender,42 years,650
Northwest Territories,Total - gender,43 years,665
Northwest Territories,Total - gender,44 years,661
Northwest Territories,Total - gender,45 to 49 years,2870
Northwest Territories,Total - gender,50 to 54 years,2943
Northwest Territories,Total - gender,55 to 59 years,2773
Northwest Territories,Total - gender,60 to 64 years,2706
Northwest Territories,Total - gender,65 years and older,5005
Northwest Territories,Men+,16 years,259
Northwest Territories,Men+,17 years,300
Northwest Territories,Men+,18 years,294
Northwest Territories,Men+,19 years,289
Northwest Territories,Men+,20 years,277
Northwest Territories,Men+,21 years,272
Northwest Territories,Men+,22 years,266
Northwest Territories,Men+,23 years,312
Northwest Territories,Men+,24 years,339
Northwest Territories,Men+,25 years,352
Northwest Territories,Men+,26 years,421
Northwest Territories,Men+,27 years,402
Northwest Territories,Men+,28 years,387
Northwest Territories,Men+,29 years,410
Northwest Territories,Men+,30 years,397
Northwest Territories,Men+,31 years,405
Northwest Territories,Men+,32 years,395
Northwest Territories,Men+,33 years,437
Northwest Territories,Men+,34 years,433
Northwest Territories,Men+,35 years,379
Northwest Territories,Men+,36 years,379
Northwest Territories,Men+,37 years,340
Northwest Territories,Men+,38 years,336
Northwest Territories,Men+,39 years,308
Northwest Territories,Men+,40 years,371
Northwest Territories,Men+,41 years,358
Northwest Territories,Men+,42 years,315
Northwest Territories,Men+,43 years,348
Northwest Territories,Men+,44 years,326
Northwest Territories,Men+,45 to 49 years,1432
Northwest Territories,Men+,50 to 54 years,1538
Northwest Territories,Men+,55 to 59 years,1412
Northwest Territories,Men+,60 to 64 years,1461
Northwest Territories,Men+,65 years and older,2534
Northwest Territories,Women+,16 years,287
Northwest Territories,Women+,17 years,271
Northwest Territories,Women+,18 years,262
Northwest Territories,Women+,19 years,257
Northwest Territories,Women+,20 years,272
Northwest Territories,Women+,21 years,284
Northwest Territories,Women+,22 years,282
Northwest Territories,Women+,23 years,330
Northwest Territories,Women+,24 years,330
Northwest Territories,Women+,25 years,300
Northwest Territories,Women+,26 years,315
Northwest Territories,Women+,27 years,344
Northwest Territories,Women+,28 years,385
Northwest Territories,Women+,29 years,355
Northwest Territories,Women+,30 years,372
Northwest Territories,Women+,31 years,355
Northwest Territories,Women+,32 years,367
Northwest Territories,Women+,33 years,401
Northwest Territories,Women+,34 years,364
Northwest Territories,Women+,35 years,372
Northwest Territories,Women+,36 years,368
Northwest Territories,Women+,37 years,344
Northwest Territories,Women+,38 years,311
Northwest Territories,Women+,39 years,316
Northwest Territories,Women+,40 years,336
Northwest Territories,Women+,41 years,296
Northwest Territories,Women+,42 years,335
Northwest Territories,Women+,43 years,317
Northwest Territories,Women+,44 years,335
Northwest Territories,Women+,45 to 49 years,1438
Northwest Territories,Women+,50 to 54 years,1405
Northwest Territories,Women+,55 to 59 years,1361
Northwest Territories,Women+,60 to 64 years,1245
Northwest Territories,Women+,65 years and older,2471
Nunavut,Total - gender,16 years,745
Nunavut,Total - gender,17 years,733
Nunavut,Total - gender,18 years,625
Nunavut,Total - gender,19 years,686
Nunavut,Total - gender,20 years,681
Nunavut,Total - gender,21 years,674
Nunavut,Total - gender,22 years,620
Nunavut,Total - gender,23 years,655
Nunavut,Total - gender,24 years,667
Nunavut,Total - gender,25 years,628
Nunavut,Total - gender,26 years,652
Nunavut,Total - gender,27 years,611
Nunavut,Total - gender,28 years,696
Nunavut,Total - gender,29 years,697
Nunavut,Total - gender,30 years,623
Nunavut,Total - gender,31 years,635
Nunavut,Total - gender,32 years,642
Nunavut,Total - gender,33 years,716
Nunavut,Total - gender,34 years,651
Nunavut,Total - gender,35 years,642
Nunavut,Total - gender,36 years,638
Nunavut,Total - gender,37 years,563
Nunavut,Total - gender,38 years,554
Nunavut,Total - gender,39 years,544
Nunavut,Total - gender,40 years,479
Nunavut,Total - gender,41 years,510
Nunavut,Total - gender,42 years,461
Nunavut,Total - gender,43 years,521
Nunavut,Total - gender,44 years,481
Nunavut,Total - gender,45 to 49 years,2142
Nunavut,Total - gender,50 to 54 years,2194
Nunavut,Total - gender,55 to 59 years,2013
Nunavut,Total - gender,60 to 64 years,1477
Nunavut,Total - gender,65 years and older,1959
Nunavut,Men+,16 years,366
Nunavut,Men+,17 years,363
Nunavut,Men+,18 years,306
Nunavut,Men+,19 years,333
Nunavut,Men+,20 years,329
Nunavut,Men+,21 years,341
Nunavut,Men+,22 years,307
Nunavut,Men+,23 years,337
Nunavut,Men+,24 years,355
Nunavut,Men+,25 years,314
Nunavut,Men+,26 years,347
Nunavut,Men+,27 years,287
Nunavut,Men+,28 years,378
Nunavut,Men+,29 years,333
Nunavut,Men+,30 years,294
Nunavut,Men+,31 years,343
Nunavut,Men+,32 years,309
Nunavut,Men+,33 years,360
Nunavut,Men+,34 years,334
Nunavut,Men+,35 years,341
Nunavut,Men+,36 years,341
Nunavut,Men+,37 years,296
Nunavut,Men+,38 years,268
Nunavut,Men+,39 years,301
Nunavut,Men+,40 years,241
Nunavut,Men+,41 years,269
Nunavut,Men+,42 years,229
Nunavut,Men+,43 years,280
Nunavut,Men+,44 years,253
Nunavut,Men+,45 to 49 years,1144
Nunavut,Men+,50 to 54 years,1060
Nunavut,Men+,55 to 59 years,1021
Nunavut,Men+,60 to 64 years,818
Nunavut,Men+,65 years and older,971
Nunavut,Women+,16 years,379
Nunavut,Women+,17 years,370
Nunavut,Women+,18 years,319
Nunavut,Women+,19 years,353
Nunavut,Women+,20 years,352
Nunavut,Women+,21 years,333
Nunavut,Women+,22 years,313
Nunavut,Women+,23 years,318
Nunavut,Women+,24 years,312
Nunavut,Women+,25 years,314
Nunavut,Women+,26 years,305
Nunavut,Women+,27 years,324
Nunavut,Women+,28 years,318
Nunavut,Women+,29 years,364
Nunavut,Women+,30 years,329
Nunavut,Women+,31 years,292
Nunavut,Women+,32 years,333
Nunavut,Women+,33 years,356
Nunavut,Women+,34 years,317
Nunavut,Women+,35 years,301
Nunavut,Women+,36 years,297
Nunavut,Women+,37 years,267
Nunavut,Women+,38 years,286
Nunavut,Women+,39 years,243
Nunavut,Women+,40 years,238
Nunavut,Women+,41 years,241
Nunavut,Women+,42 years,232
Nunavut,Women+,43 years,241
Nunavut,Women+,44 years,228
Nunavut,Women+,45 to 49 years,998
Nunavut,Women+,50 to 54 years,1134
Nunavut,Women+,55 to 59 years,992
Nunavut,Women+,60 to 64 years,659
Nunavut,Women+,65 years and older,988

